id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName,Wordcount
commentisfree/2024/feb/08/germany-ban-far-right-afd-panel,article,commentisfree,Opinion,2024-02-08 07:00:06+00:00,How should Germany deal with its far-right problem – and could it ban the AfD? | Mariam Lau and others,https://www.theguardian.com/commentisfree/2024/feb/08/germany-ban-far-right-afd-panel,https://content.guardianapis.com/commentisfree/2024/feb/08/germany-ban-far-right-afd-panel,False,pillar/opinion,Opinion,2272
world/2024/feb/08/first-edition-israel-gaza-ceasefire-negotiations,article,world,World news,2024-02-08 06:35:29+00:00,Thursday briefing: Benjamin Netanyahu rejects a plan for short-term peace,https://www.theguardian.com/world/2024/feb/08/first-edition-israel-gaza-ceasefire-negotiations,https://content.guardianapis.com/world/2024/feb/08/first-edition-israel-gaza-ceasefire-negotiations,False,pillar/news,News,2079
world/2024/feb/08/task-of-forming-majority-government-in-netherlands-just-got-a-lot-harder,article,world,World news,2024-02-08 05:00:05+00:00,Task of forming majority government in Netherlands just got a lot harder,https://www.theguardian.com/world/2024/feb/08/task-of-forming-majority-government-in-netherlands-just-got-a-lot-harder,https://content.guardianapis.com/world/2024/feb/08/task-of-forming-majority-government-in-netherlands-just-got-a-lot-harder,False,pillar/news,News,830
uk-news/2024/feb/08/unrest-leicester-muslim-hindu-revealed-britain-modi-india-2022,article,uk-news,UK news,2024-02-08 05:00:05+00:00,What the unrest in Leicester revealed about Britain – and Modi’s India,https://www.theguardian.com/uk-news/2024/feb/08/unrest-leicester-muslim-hindu-revealed-britain-modi-india-2022,https://content.guardianapis.com/uk-news/2024/feb/08/unrest-leicester-muslim-hindu-revealed-britain-modi-india-2022,False,pillar/news,News,6740
us-news/2024/feb/08/marianne-williamson-ends-democratic-election-campaign-drops-out-nevada,article,us-news,US news,2024-02-08 04:00:06+00:00,Marianne Williamson ends campaign to secure Democratic presidential nomination,https://www.theguardian.com/us-news/2024/feb/08/marianne-williamson-ends-democratic-election-campaign-drops-out-nevada,https://content.guardianapis.com/us-news/2024/feb/08/marianne-williamson-ends-democratic-election-campaign-drops-out-nevada,False,pillar/news,News,461
us-news/2024/feb/07/alabama-law-criminalizing-absentee-ballot-voter-assistance,article,us-news,US news,2024-02-08 02:38:32+00:00,Alabama proposes law criminalizing some forms of absentee ballot voter aid,https://www.theguardian.com/us-news/2024/feb/07/alabama-law-criminalizing-absentee-ballot-voter-assistance,https://content.guardianapis.com/us-news/2024/feb/07/alabama-law-criminalizing-absentee-ballot-voter-assistance,False,pillar/news,News,798
us-news/live/2024/feb/07/congress-ukraine-israel-aid-trump-haley-campaign-politics-updates,liveblog,us-news,US news,2024-02-07 22:55:23+00:00,Human rights groups denounce failed Senate deal on border policies and foreign aid – as it happened,https://www.theguardian.com/us-news/live/2024/feb/07/congress-ukraine-israel-aid-trump-haley-campaign-politics-updates,https://content.guardianapis.com/us-news/live/2024/feb/07/congress-ukraine-israel-aid-trump-haley-campaign-politics-updates,False,pillar/news,News,4753
politics/live/2024/feb/07/rishi-sunak-pmqs-victoria-atkins-labour-conservatives-nhs-dentists-politics-live,liveblog,politics,Politics,2024-02-07 17:41:10+00:00,Badenoch accuses Starmer of exploiting Brianna Ghey tragedy after Sunak makes trans jibe during PMQs – as it happened,https://www.theguardian.com/politics/live/2024/feb/07/rishi-sunak-pmqs-victoria-atkins-labour-conservatives-nhs-dentists-politics-live,https://content.guardianapis.com/politics/live/2024/feb/07/rishi-sunak-pmqs-victoria-atkins-labour-conservatives-nhs-dentists-politics-live,False,pillar/news,News,6822
politics/2024/feb/07/weak-weak-weak-needy-rish-makes-a-spectacle-of-himself-at-pmqs,article,politics,Politics,2024-02-07 17:23:34+00:00,"Weak, weak, weak: needy Rish! makes a spectacle of himself at PMQs | John Crace",https://www.theguardian.com/politics/2024/feb/07/weak-weak-weak-needy-rish-makes-a-spectacle-of-himself-at-pmqs,https://content.guardianapis.com/politics/2024/feb/07/weak-weak-weak-needy-rish-makes-a-spectacle-of-himself-at-pmqs,False,pillar/news,News,1168
world/live/2024/feb/07/protests-continue-across-europe-as-politicians-grapple-with-farmers-anger-europe-live,liveblog,world,World news,2024-02-07 15:26:27+00:00,Thousands of tractors block roads across Spain as farming lobby calls EU debate a ‘blame game’ – as it happened,https://www.theguardian.com/world/live/2024/feb/07/protests-continue-across-europe-as-politicians-grapple-with-farmers-anger-europe-live,https://content.guardianapis.com/world/live/2024/feb/07/protests-continue-across-europe-as-politicians-grapple-with-farmers-anger-europe-live,False,pillar/news,News,2208
world/2024/feb/07/harassed-constantly-imran-khans-party-fights-state-pressure-in-pakistan-election,article,world,World news,2024-02-07 13:58:51+00:00,‘Harassed constantly’: Imran Khan’s party fights state pressure in Pakistan election,https://www.theguardian.com/world/2024/feb/07/harassed-constantly-imran-khans-party-fights-state-pressure-in-pakistan-election,https://content.guardianapis.com/world/2024/feb/07/harassed-constantly-imran-khans-party-fights-state-pressure-in-pakistan-election,False,pillar/news,News,1390
us-news/2024/feb/07/donald-trump-14th-amendment-colorado-supreme-court,article,us-news,US news,2024-02-07 13:00:48+00:00,‘We were a voice in the wilderness’: the groups fighting to keep Trump off the ballot,https://www.theguardian.com/us-news/2024/feb/07/donald-trump-14th-amendment-colorado-supreme-court,https://content.guardianapis.com/us-news/2024/feb/07/donald-trump-14th-amendment-colorado-supreme-court,False,pillar/news,News,776
world/2024/feb/07/eu-to-take-action-against-hungary-sovereignty-law-viktor-orban,article,world,World news,2024-02-07 12:45:06+00:00,EU to take action against Hungary’s ‘sovereignty’ law ,https://www.theguardian.com/world/2024/feb/07/eu-to-take-action-against-hungary-sovereignty-law-viktor-orban,https://content.guardianapis.com/world/2024/feb/07/eu-to-take-action-against-hungary-sovereignty-law-viktor-orban,False,pillar/news,News,420
us-news/2024/feb/07/first-thing-nikki-haley-loses-nevada-primary,article,us-news,US news,2024-02-07 11:44:11+00:00,Nikki Haley loses to ‘none of the candidates’ in Nevada primary | First Thing,https://www.theguardian.com/us-news/2024/feb/07/first-thing-nikki-haley-loses-nevada-primary,https://content.guardianapis.com/us-news/2024/feb/07/first-thing-nikki-haley-loses-nevada-primary,False,pillar/news,News,1145
commentisfree/2024/feb/07/climate-change-presidential-election-media-coverage,article,commentisfree,Opinion,2024-02-07 11:01:12+00:00,This is the year of the climate election. Journalists should cover it that way | Mark Hertsgaard and Kyle Pope,https://www.theguardian.com/commentisfree/2024/feb/07/climate-change-presidential-election-media-coverage,https://content.guardianapis.com/commentisfree/2024/feb/07/climate-change-presidential-election-media-coverage,False,pillar/opinion,Opinion,1264
us-news/2024/feb/06/nevada-primary-election-biden-haley-win,article,us-news,US news,2024-02-07 05:46:14+00:00,Nikki Haley loses to ‘none of the candidates’ in Nevada primary as Biden seals easy win,https://www.theguardian.com/us-news/2024/feb/06/nevada-primary-election-biden-haley-win,https://content.guardianapis.com/us-news/2024/feb/06/nevada-primary-election-biden-haley-win,False,pillar/news,News,807
us-news/2024/feb/06/nevada-primary-biden-trump-republicans-democrats,article,us-news,US news,2024-02-07 03:42:18+00:00,Nevada primary: Biden focuses on Black and Latino voters as GOP scheme helps Trump,https://www.theguardian.com/us-news/2024/feb/06/nevada-primary-biden-trump-republicans-democrats,https://content.guardianapis.com/us-news/2024/feb/06/nevada-primary-biden-trump-republicans-democrats,False,pillar/news,News,1081
world/2024/feb/06/geert-wilders-hopes-of-becoming-dutch-pm-dim-after-centrist-party-quits-talks,article,world,World news,2024-02-06 21:32:50+00:00,Geert Wilders’ hopes of becoming Dutch PM dim after centrist party quits talks,https://www.theguardian.com/world/2024/feb/06/geert-wilders-hopes-of-becoming-dutch-pm-dim-after-centrist-party-quits-talks,https://content.guardianapis.com/world/2024/feb/06/geert-wilders-hopes-of-becoming-dutch-pm-dim-after-centrist-party-quits-talks,False,pillar/news,News,457
business/2024/feb/06/cbi-scandal-president-rupert-soames-sexual-misconduct-claims,article,business,Business,2024-02-06 19:08:52+00:00,"Misconduct claims tipped CBI into ‘near death experience’, says president ",https://www.theguardian.com/business/2024/feb/06/cbi-scandal-president-rupert-soames-sexual-misconduct-claims,https://content.guardianapis.com/business/2024/feb/06/cbi-scandal-president-rupert-soames-sexual-misconduct-claims,False,pillar/news,News,866
commentisfree/2024/feb/06/the-guardian-view-on-pakistans-elections-and-imran-khan-the-military-wins-again,article,commentisfree,Opinion,2024-02-06 18:44:01+00:00,"The Guardian view on Pakistan’s elections and Imran Khan: the military wins, again | Editorial",https://www.theguardian.com/commentisfree/2024/feb/06/the-guardian-view-on-pakistans-elections-and-imran-khan-the-military-wins-again,https://content.guardianapis.com/commentisfree/2024/feb/06/the-guardian-view-on-pakistans-elections-and-imran-khan-the-military-wins-again,False,pillar/opinion,Opinion,589
